cal_date,shipper_group,hub_name,total_orders,total_orders_kpi,first_mile_canceled_order,pu_success_ontime,pu_success_late,pending_pu_not_due,pending_pu_late,first_attempt_ontime,first_attempt_late,first_mile_cancelled_rate,first_attempt_ontime_rate_kpi,pu_success_ontime_rate
1/5/2021,Shopee,HCM - Go Vap A - SOU - DP,3102,3083,61,2694,347,0,0,3083,0,0.0197,1,0.8685
1/4/2021,Non-Shopee,HCM - Go Vap A - SOU - DP,2626,2624,19,2450,157,0,0,2623,1,0.0072,0.9996,0.933
1/4/2021,Shopee,HCM - Go Vap A - SOU - DP,4016,3998,68,3405,543,0,0,3996,2,0.0169,0.9995,0.8479
1/3/2021,Non-Shopee,HCM - Go Vap A - SOU - DP,1127,1127,1,937,189,0,0,1127,0,0.0009,1,0.8314
1/3/2021,Shopee,HCM - Go Vap A - SOU - DP,2899,2867,74,2505,320,0,0,2867,0,0.0255,1,0.8641
1/2/2021,Non-Shopee,HCM - Go Vap A - SOU - DP,2035,2034,1,1960,74,0,0,2031,3,0.0005,0.9985,0.9631
1/2/2021,Shopee,HCM - Go Vap A - SOU - DP,4218,4193,77,3664,477,0,0,4193,0,0.0183,1,0.8687
1/1/2021,Non-Shopee,HCM - Go Vap A - SOU - DP,93,92,2,68,23,0,0,90,2,0.0215,0.9783,0.7312
1/1/2021,Shopee,HCM - Go Vap A - SOU - DP,1508,1487,44,1368,96,0,0,1486,1,0.0292,0.9993,0.9072
7/31/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,95,95,10,59,25,0,1,83,12,0.1053,0.8737,0.6211
7/31/2021,Shopee,HCM - Phu Nhuan - SOU - DP,791,785,39,499,250,0,3,695,90,0.0493,0.8854,0.6308
7/30/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,104,95,13,72,18,0,1,84,11,0.125,0.8842,0.6923
7/30/2021,Shopee,HCM - Phu Nhuan - SOU - DP,747,741,63,452,212,0,20,697,44,0.0843,0.9406,0.6051
7/29/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,54,54,8,22,22,0,2,51,3,0.1481,0.9444,0.4074
7/29/2021,Shopee,HCM - Phu Nhuan - SOU - DP,835,828,52,336,442,0,5,749,79,0.0623,0.9046,0.4024
7/28/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,74,74,3,31,39,0,1,58,16,0.0405,0.7838,0.4189
7/28/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1021,1015,91,384,541,0,5,921,94,0.0891,0.9074,0.3761
7/27/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,80,76,21,22,37,0,0,35,41,0.2625,0.4605,0.275
7/27/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1728,1713,131,891,694,0,11,1468,245,0.0758,0.857,0.5156
7/26/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,125,120,18,50,57,0,0,111,9,0.144,0.925,0.4
7/26/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1594,1574,170,892,523,0,9,1484,90,0.1066,0.9428,0.5596
7/25/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,59,56,23,16,20,0,0,49,7,0.3898,0.875,0.2712
7/25/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1070,1063,203,684,183,0,0,1062,1,0.1897,0.9991,0.6393
7/24/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,102,99,8,62,32,0,0,83,16,0.0784,0.8384,0.6078
7/24/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1299,1292,33,1155,110,0,1,1292,0,0.0254,1,0.8891
7/23/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,179,164,21,151,7,0,0,162,2,0.1173,0.9878,0.8436
7/23/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1131,1122,27,979,124,0,1,1121,1,0.0239,0.9991,0.8656
7/22/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,216,185,39,154,23,0,0,184,1,0.1806,0.9946,0.713
7/22/2021,Shopee,HCM - Phu Nhuan - SOU - DP,948,923,56,823,68,0,1,922,1,0.0591,0.9989,0.8681
7/21/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,156,150,6,128,22,0,0,144,6,0.0385,0.96,0.8205
7/21/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1048,1040,36,923,83,0,6,1040,0,0.0344,1,0.8807
7/20/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,196,186,10,165,21,0,0,184,2,0.051,0.9892,0.8418
7/20/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1022,1007,46,889,87,0,0,999,8,0.045,0.9921,0.8699
7/19/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,234,218,20,195,19,0,0,218,0,0.0855,1,0.8333
7/19/2021,Shopee,HCM - Phu Nhuan - SOU - DP,1303,1281,73,1050,176,0,4,1278,3,0.056,0.9977,0.8058
7/18/2021,Non-Shopee,HCM - Phu Nhuan - SOU - DP,87,84,3,76,8,0,0,84,0,0.0345,1,0.8736
