hub_name,mean,lower,upper,rider_no
HN - Dan Phuong - NOR - SUB 2 - DP,973.8396946564885,928.8294899609059,1018.8498993520711,13.5
HN - Dong Anh - NOR - SUB 2 - DP,1687.2954545454545,1638.2342370755237,1736.3566720153854,31.2
HN - Dong Da 1 - NOR - DP,2564.265625,2446.42424945087,2682.1070005491288,30.0
HN - Dong Da 2 - NOR - DP,2232.685950413223,2133.8643185419082,2331.507582284538,24.77777777777778
HN - Hai Ba Trung 1 - NOR - DP,3527.092307692307,3303.0321947013485,3751.1524206832687,39.083333333333336
HN - Hoan Kiem - NOR - DP,1580.8640776699028,1489.8547239173242,1671.8734314224814,22.227272727272727
HN - Hoang Mai 2 - NOR - DP,3648.0887096774195,3498.011951068898,3798.165468285941,41.0
HN - My Duc - NOR - SUB 2 - DP,1290.2093023255813,1252.8136350622183,1327.6049695889444,12.666666666666666
HN - Quoc Oai - NOR - SUB 2 - DP,776.9765625,743.5141273709351,810.4389976290649,8.5
HN - Soc Son - NOR - SUB 2 - DP,1003.0625,980.6758902096553,1025.4491097903447,21.5
HN - Thach That - NOR - SUB 2 - DP,1782.8,1737.0163213808867,1828.583678619113,17.0
HN - Thanh Xuan 1 - NOR - DP,3922.507575757576,3742.1090323324174,4102.906119182734,31.5
HN - Thanh Xuan 2 - NOR - DP,2915.381679389313,2787.798594575335,3042.964764203291,26.0
HN - Thuong Tin - NOR - SUB 2 - DP,2973.9302325581393,2834.101862984325,3113.7586021319535,24.0
HOB - Hoa Binh - NOR,422.9411764705881,405.9462265475141,439.9361263936624,6.0
HOB - Lac Thuy - NOR - SUB 2,244.22105263157894,232.84664768379733,255.59545757936056,5.375
HOB - Tan Lac - NOR - SUB 2,153.8108108108108,143.28184803291882,164.33977358870283,3.8
HP - An Duong - NOR - SUB 2,581.843137254902,557.3633146133479,606.3229598964562,9.25
HP - Hai Phong - NOR,1300.9814814814815,1253.1339534126334,1348.8290095503294,14.222222222222221
HP - Kien Thuy - NOR - SUB 2,977.8888888888893,929.4895484474789,1026.2882293302985,11.782608695652174
HP - Le Chan - NOR - SUB 2,1041.1196581196582,997.1917048055894,1085.0476114337268,11.714285714285714
HP - Thuy Nguyen - NOR - SUB 2,683.033333333333,653.4282956090211,712.6383710576451,8.423076923076923
HP - Vinh Bao - NOR - SUB 2,324.7692307692308,288.95773728514956,360.5807242533119,6.0
HY - Hung Yen - NOR,743.7021276595747,710.8849824002335,776.5192729189152,10.136363636363637
HY - My Hao - NOR - SUB 2,1253.964285714286,1197.1703871574782,1310.7581842710936,12.125
HY - Yen My - NOR - SUB 2,903.4563106796118,872.9011842106235,934.0114371485995,10.166666666666666
KHH - Cam Lam - SOU - SUB 2,183.41836734693877,161.66965372460027,205.1670809692773,3.0
