cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,first_deli_ontime_rate,deli_succcess_ontime_day1_rate,deli_succcess_ontime_day2_rate,lm_orders
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,Lazada Master Account (ASC),1.0,0.9402985074626866,1.0,67
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,Others,1.0,1.0,1.0,1
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,Shopee Vietnam,0.9242902208201893,0.8769716088328076,1.0,317
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,Tiki,0.6666666666666666,0.6666666666666666,1.0,3
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,Tiki Marketplace,1.0,1.0,1.0,2
2021-08-15,HCM - Phu Nhuan - SOU - DP,236,HCM,XB,0.8333333333333334,0.8333333333333334,1.0,6
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,DS,1.0,0.8,1.0,10
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,EN,1.0,1.0,1.0,3
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,ES,1.0,0.0,,1
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,Lazada Master Account (ASC),1.0,0.9166666666666666,1.0,36
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,Others,1.0,0.8,1.0,5
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,Shopee Vietnam,1.0,0.968503937007874,1.0,254
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,Tiki Marketplace,1.0,1.0,1.0,11
2021-08-15,HN - Ba Dinh - NOR - DP,847,HN,XB,1.0,1.0,1.0,10
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,DS,1.0,0.6,1.0,25
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,EN,1.0,0.9166666666666666,1.0,12
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,ES,1.0,0.5,1.0,2
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,Lazada Master Account (ASC),1.0,0.8541666666666666,1.0,48
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,Others,1.0,1.0,1.0,4
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,Shopee Vietnam,0.9976019184652278,0.8441247002398081,1.0,417
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,Tiki,1.0,1.0,1.0,1
2021-08-15,HN - Bac Tu Liem - NOR - DP,259,HN,XB,1.0,0.8181818181818182,1.0,11
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,DS,1.0,0.8181818181818182,1.0,11
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,EN,1.0,1.0,1.0,3
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,ES,1.0,1.0,1.0,1
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Lazada Master Account (ASC),1.0,0.9130434782608695,1.0,23
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Others,1.0,1.0,1.0,4
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Shopee Vietnam,1.0,0.9377777777777778,1.0,225
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Tiki Marketplace,1.0,1.0,1.0,3
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,851,HN,XB,1.0,1.0,1.0,10
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,DS,1.0,1.0,1.0,3
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,EN,1.0,1.0,1.0,1
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,ES,1.0,1.0,1.0,1
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,Lazada Master Account (ASC),0.991869918699187,0.975609756097561,1.0,123
