cal_date,shipper_group,hub_name,avg_pending_time_dest_hub,avg_delivery_attempts,total_orders,rts_orders,rts_rate
1/26/2021,Shopee,HCM - Phu Nhuan - SOU - DP,54.08695652,1.107378855,1816,23,0.012665198
3/31/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,59.26785714,1.14853672,1811,56,0.030922142
1/31/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,54.58695652,1.631143015,1811,46,0.025400331
5/12/2021,Shopee,HCM - Go Vap A - SOU - DP,45.54761905,1.125897294,1811,42,0.023191607
3/17/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,47.03030303,1.127694859,1809,33,0.018242123
3/22/2021,Shopee,HCM - District 7 - SOU - DP,46.36842105,1.134955752,1808,38,0.021017699
3/20/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,61.57777778,1.291412742,1805,45,0.024930748
4/14/2021,Shopee,HCM - Phu Nhuan - SOU - DP,49.23333333,1.119220056,1795,30,0.016713092
3/10/2021,Shopee,HCM - District 10 - SOU - DP,42.20689655,1.162674095,1795,29,0.016155989
4/14/2021,Shopee,HCM - Go Vap A - SOU - DP,50.5625,1.14556609,1793,32,0.017847183
1/11/2021,Shopee,HCM - District 7 - SOU - DP,46.24,1.204241071,1792,50,0.027901786
3/10/2021,Shopee,HCM - District 7 - SOU - DP,48.25,1.178671133,1791,28,0.015633724
1/8/2021,Shopee,HCM - District 7 - SOU - DP,57.14705882,1.167132476,1789,34,0.019005031
6/24/2021,Shopee,HCM - Go Vap A - SOU - DP,48.09375,1.05980995,1789,32,0.017887088
6/24/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,65.64864865,1.104143337,1786,37,0.020716685
3/31/2021,Shopee,HCM - District 10 - SOU - DP,53.80555556,1.207166853,1786,36,0.020156775
2/22/2021,Shopee,HCM - Phu Nhuan - SOU - DP,47.88461538,1.167973124,1786,26,0.014557671
3/15/2021,Shopee,HCM - Go Vap A - SOU - DP,45.30769231,1.127731092,1785,39,0.021848739
6/15/2021,Shopee,HCM - Phu Nhuan - SOU - DP,47.96551724,1.08627451,1785,29,0.016246499
5/5/2021,Shopee,HCM - District 7 - SOU - DP,54.08,1.229517396,1782,50,0.028058361
3/11/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,50.45238095,1.143097643,1782,42,0.023569024
4/10/2021,Shopee,HCM - Go Vap A - SOU - DP,50.36111111,1.196969697,1782,36,0.02020202
4/9/2021,Shopee,HCM - District 7 - SOU - DP,60.47272727,1.309376755,1781,55,0.030881527
4/3/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,56.6,1.270680923,1777,40,0.022509848
6/13/2021,Shopee,HCM - District 7 - SOU - DP,72.59210526,1.619932432,1776,76,0.042792793
5/5/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,38.02777778,1.157271702,1774,72,0.040586246
3/8/2021,Shopee,HCM - District 7 - SOU - DP,59.13207547,1.177100959,1773,53,0.029892837
3/17/2021,Shopee,HCM - Phu Nhuan - SOU - DP,44.66666667,1.181049069,1773,30,0.016920474
2/22/2021,Shopee,HCM - District 10 - SOU - DP,40.46341463,1.111864407,1770,41,0.023163842
2/26/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,66.21276596,1.128959276,1768,47,0.02658371
6/23/2021,Shopee,HCM - District 10 - SOU - DP,49.55555556,1.103506787,1768,27,0.015271493
3/15/2021,Shopee,HCM - District 7 - SOU - DP,55.12820513,1.200113379,1764,39,0.022108844
3/11/2021,Shopee,HCM - Phu Nhuan - SOU - DP,43.61904762,1.123085649,1763,21,0.011911514
1/2/2021,Shopee,HCM - Phu Nhuan - SOU - DP,66.49019608,1.495459705,1762,51,0.028944381
5/12/2021,Shopee,HCM - District 7 - SOU - DP,48.07317073,1.194191344,1756,41,0.023348519
5/2/2021,Shopee,HCM - Go Vap A - SOU - DP,52.2238806,1.400569801,1755,67,0.038176638
3/1/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,56.10638298,1.112250712,1755,47,0.026780627
3/10/2021,Shopee,HCM - Go Vap A - SOU - DP,43.44444444,1.13869863,1752,45,0.025684932
2/6/2021,Shopee,HCM - Phu Nhuan - SOU - DP,81.5,1.293546545,1751,70,0.039977156
7/22/2021,Shopee,HCM - Phu Nhuan - SOU - DP,67.73684211,1.048,1750,38,0.021714286
7/7/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,54.02857143,1.094393593,1748,35,0.020022883
4/1/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,56.18367347,1.163802978,1746,49,0.028064147
3/24/2021,Shopee,HCM - Go Vap A - SOU - DP,47.73809524,1.134097421,1745,42,0.024068768
7/23/2021,Shopee,HCM - Go Vap A - SOU - DP,50.23076923,1.080321285,1743,26,0.01491681
2/25/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,58.75675676,1.112643678,1740,37,0.021264368
