,hub_region,hub_sector,hub_id,hub_name,sl_rate,observation_num,mean,lower,upper,range,rider_no
49,HN,HN,1209,HN - Cau Giay 2 - NOR - DP,0.93,125,2800.0,2700.0,2900.0,255.48311428675606,43.0
50,HN,HN,1211,HN - Hoang Mai 2 - NOR - DP,0.93,124,3600.0,3500.0,3800.0,300.1535172170434,27.0
51,HN,HN,1214,HN - Me Linh - NOR - SUB 2 - DP,0.93,127,1900.0,1800.0,1900.0,124.97338577008259,13.0
52,HN,HN,1230,HN - Dong Da 2 - NOR - DP,0.93,121,2200.0,2100.0,2300.0,197.64326374262964,25.0
53,HN,HN,1231,HN - Thanh Xuan 2 - NOR - DP,0.93,131,2900.0,2800.0,3000.0,255.16616962795615,21.0
54,North,BTB,141,THH - Thanh Hoa - NOR,0.93,61,1900.0,1800.0,2000.0,284.01206874141576,20.0
55,North,BTB,279,HAT - Ha Tinh - NOR,0.93,27,600.0,600.0,700.0,111.34956548815899,14.0
56,North,BTB,281,NGA - Nghe An - NOR,0.93,49,1200.0,1200.0,1300.0,116.54899361411753,16.0
57,North,BTB,297,QUT - Quang Tri - NOR,0.93,51,200.0,200.0,200.0,83.03926444494564,7.0
58,North,BTB,299,QUB - Quang Binh - NOR,0.93,120,200.0,200.0,200.0,32.9983352102347,4.0
59,North,BTB,301,TTH - Thua Thien Hue - NOR,0.93,91,500.0,500.0,600.0,120.30315967591652,10.0
60,North,BTB,445,THH - Tho Xuan - NOR - SUB 2,0.93,111,500.0,400.0,500.0,34.84723416535155,9.0
61,North,BTB,449,THH - Bim Son - NOR - SUB 2,0.93,51,400.0,400.0,400.0,58.23714795503515,7.0
62,North,BTB,451,THH - Tinh Gia - NOR - SUB 2,0.93,77,600.0,600.0,700.0,118.92898893176925,9.0
63,North,BTB,558,THH - Hoang Hoa - NOR - SUB 2,0.93,63,800.0,700.0,900.0,161.15147439164053,10.0
64,North,BTB,562,QUB - Quang Trach - NOR - SUB 2,0.93,53,100.0,100.0,100.0,24.12292863612415,4.0
65,North,BTB,566,QUB - Le Thuy - NOR - SUB 2,0.93,37,100.0,100.0,200.0,47.3023595376409,5.0
66,North,BTB,606,HAT - Ky Anh - NOR - SUB 2,0.93,10,200.0,100.0,400.0,311.1928758027772,6.0
67,North,BTB,610,HAT - Nghi Xuan - NOR - SUB 2,0.93,110,100.0,100.0,100.0,11.656762310332148,3.0
68,North,BTB,614,QUT - Huong Hoa - NOR - SUB 2,0.93,106,100.0,100.0,100.0,16.031551981602647,5.0
69,North,BTB,618,QUT - Hai Lang - NOR - SUB 2,0.93,51,0.0,0.0,0.0,7.398624668589237,2.0
70,North,BTB,638,QUT - Vinh Linh - NOR - SUB 2,0.93,8,0.0,0.0,0.0,0.4736446512653263,2.0
71,North,BTB,687,TTH - Phu Loc - NOR - SUB 2,0.93,45,100.0,100.0,200.0,59.59283491119316,5.0
72,North,BTB,690,NGA - Hoang Mai - NOR - SUB 2,0.93,79,400.0,400.0,400.0,35.68025867109259,8.0
73,North,BTB,975,QUB - Bo Trach - NOR - SUB 2,0.93,12,100.0,0.0,100.0,59.598575504485844,3.0
74,North,BTB,1022,THH - Nhu Thanh - NOR - SUB 2,0.93,12,100.0,0.0,100.0,54.61366505216211,3.0
75,North,BTB,1023,THH - Thach Thanh - NOR - SUB 2,0.93,52,300.0,200.0,300.0,105.25361636201703,6.0
76,North,BTB,1024,THH - Thuong Xuan - NOR - SUB 2,0.93,42,100.0,100.0,100.0,39.82056113695296,3.0
77,North,BTB,1025,THH - Quan Hoa - NOR - SUB 2,0.93,26,0.0,0.0,0.0,7.257073933748472,2.0
78,North,BTB,1028,THH - Quan Son - NOR - SUB 2,0.93,48,0.0,0.0,0.0,11.132330333544404,2.0
79,North,BTB,1030,THH - Ba Thuoc - NOR - SUB 2,0.93,25,100.0,100.0,100.0,16.2347955585195,3.0
80,North,BTB,1044,HAT - Duc Tho - NOR - SUB 2,0.93,68,100.0,100.0,200.0,25.809878056372106,5.0
81,North,BTB,1045,HAT - Huong Khe - NOR - SUB 2,0.93,24,0.0,0.0,100.0,22.737699273342216,2.0
82,North,BTB,1047,NGA - Tan Ky - NOR - SUB 2,0.93,16,100.0,0.0,100.0,40.53613070303695,2.0
83,North,BTB,1064,NGA - Quy Chau - NOR - SUB 2,0.93,7,0.0,0.0,100.0,21.552699628008707,2.0
84,North,BTB,1079,TTH - Phong Dien - NOR - SUB 2,0.93,39,0.0,0.0,0.0,11.41545848864877,2.0
85,North,BTB,1080,TTH - A Luoi - NOR - SUB 2,0.93,17,0.0,0.0,0.0,11.127098545878404,1.0
