Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Ho Chi Minh,VN,,,vn,2017-04-28T08:13:11Z,RECOVERY,NMM,66,0,0,12:00,10.765586,106.582483,SOLVED SLA,,SOL,HCM,SOLVED SLA,vn,0,0,,HCM,2017-04
Vĩnh Long,VN,metro,,vn,2017-04-12T22:16:28Z,STATION,MT,58,0,1,12:00,10.23009,105.951783,VIL - Vinh Long - SOU,,VIL,South,Vĩnh Long,vn,0,0,,South,2017-04
Dak Nong,VN,sub2,,vn,2018-02-22T15:39:07Z,STATION,MTTN,317,0,1,12:00,11.971083,107.6095,DAN - Dak Nong - SOU,,DAN,South,Đắk Nông,vn,0,0,,South,2018-02
Lâm Đồng,VN,metro,,vn,2018-02-22T15:35:15Z,STATION,MTTN,311,0,1,12:00,11.967327,108.427109,LAD - Lam Dong - SOU,,LAD,South,Lâm Đồng,vn,0,0,,South,2018-02
Long An,VN,sub1,,vn,2018-02-22T15:38:48Z,STATION,DNB,315,0,1,12:00,10.790468,105.92234,LA - Kien Tuong - SOU - SUB 2,,LA,South,Long An,vn,0,0,,South,2018-02
Thừa Thiên Huế,VN,metro,,vn,2018-01-30T21:55:24Z,STATION,BTB,301,0,1,12:00,16.47062,107.558358,TTH - Thua Thien Hue - NOR,,TTH,North,Thừa Thiên Huế,vn,0,0,,Central,2018-01
Bạc Liêu,VN,sub2,,vn,2018-01-30T22:44:18Z,STATION,MT,303,0,1,12:00,9.2987962,105.7261316,BAL - Bac Lieu - SOU,,BAL,South,Bạc Liêu,vn,0,0,,South,2018-01
binh duong,VN,sub2,,vn,2018-01-02T17:50:40Z,STATION,DNB,277,0,1,12:00,11.198617,106.617225,BD - Ben Cat - SOU - SUB 2,,BD,South,Bình Dương,vn,0,0,,South,2018-01
Đồng Nai,VN,sub1,,vn,2018-01-02T17:49:18Z,STATION,DNB,275,0,1,12:00,10.7822517,106.9404604,DN - Long Thanh - SOU - SUB 2,,DN,South,Đồng Nai,vn,0,0,,South,2018-01
Nghệ An,VN,metro,,vn,2018-01-15T09:56:57Z,STATION,BTB,281,0,1,12:00,18.682666,105.663598,NGA - Nghe An - NOR,,NGA,North,Nghệ An,vn,0,0,,North,2018-01
Cần Thơ,VN,sub1,,vn,2018-01-23T19:33:41Z,STATION,MT,289,0,1,12:00,10.0606606,105.5584337,CT - O Mon - SOU - SUB 2,,CT,South,Cần Thơ,vn,0,0,,South,2018-01
Quảng Ninh,VN,metro,,vn,2018-01-15T11:41:25Z,STATION,DBSH,283,0,1,12:00,21.032338,106.769837,QUN - Cam Pha - NOR,,QUN,North,Quảng Ninh,vn,0,0,,North,2018-01
Quảng Ninh,VN,metro,,vn,2018-01-15T11:42:12Z,STATION,DBSH,285,0,1,12:00,21.012589,107.25542,QUN - Uong Bi - NOR,,QUN,North,Quảng Ninh,vn,0,0,,North,2018-01
Ha Noi,VN,sub2,,vn,2018-11-17T00:31:08Z,STATION,HN,831,0,1,12:00,20.821319,105.883128,HN - Thuong Tin - NOR - SUB 2 - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2018-11
Ha Noi,VN,sub2,,vn,2018-11-17T00:19:56Z,STATION,HN,827,0,1,12:00,21.1086539,105.4958104,HN - Son Tay - NOR - SUB 2 - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2018-11
Ho Chi Minh,VN,,,vn,2020-02-24T12:27:40Z,OTHERS,Others,1135,1,,12:00,6.0,6.0,PUDO TEST 3,,PUD,HCM,test,vn,0,0,,HCM,2020-02
Lao Cai,VN,sub2,,vn,2020-02-28T16:11:35Z,STATION,NMM,1140,0,,12:00,22.690759,104.275212,LCA - Si Ma Cai - NOR - SUB 2,,LCA,North,Lào Cai,vn,0,0,,North,2020-02
Hung Yen,VN,sub2,,vn,2020-02-27T14:12:21Z,STATION,DBSH,1139,0,,12:00,20.933616,106.01919,HY - My Hao - NOR - SUB 2,,HY,North,Hưng Yên,vn,0,0,,North,2020-02
Hai Phong,VN,sub2,,vn,2020-02-27T14:11:17Z,STATION,DBSH,1137,0,,12:00,20.790904,106.645461,HP - Kien Thuy - NOR - SUB 2,,HP,North,Hải Phòng,vn,0,0,,North,2020-02
Hồ Chí Minh,VN,metro,,vn,2020-02-28T17:24:40Z,STATION,HCM,1142,0,,12:00,10.749663,106.652328,HCM - QuQo - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2020-02
Nghe An,VN,sub2,,vn,2020-02-10T09:28:08Z,STATION,BTB,1131,0,,12:00,19.05336,104.87905,NGA - Con Cuong - NOR - SUB 2,,NGA,North,Nghệ An,vn,0,0,,North,2020-02
Ho Chi Minh,VN,,,vn,2020-02-27T14:11:00Z,OTHERS,Others,1136,0,,12:00,1.0,1.0,CE Liable,,CE,HCM,Hồ Chí Minh,vn,0,0,,HCM,2020-02
Kon Tum,VN,sub3,,vn,2020-02-29T18:06:56Z,STATION,MTTN,1143,0,,12:00,14.134614,107.463088,KOT - Ia Hdrai - SOU - SUB 2,,KOT,South,Kon Tum,vn,0,0,,South,2020-02
Ho Chi Minh,VN,,,vn,2020-04-29T17:42:13Z,OTHERS,HCM,1169,0,,12:00,1.0,1.0,HCM - Sendo Q04 - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2020-04
Hà Nội,VN,metro,,vn,2019-12-27T15:33:39Z,OTHERS,Others,1117,0,,12:00,1.0,1.0,Freight Inhouse - Ha Noi,,Fre,HN,Hà Nội,vn,0,0,,HN,2019-12
VN,VN,,,vn,2019-12-27T15:40:45Z,OTHERS,Others,1124,0,,12:00,1.0,1.0,Freight 3PL - Local Bus,,Fre,HCM,VN,vn,0,0,,HCM,2019-12
Hồ Chí Minh,VN,,,vn,2019-12-27T15:38:16Z,OTHERS,Others,1120,0,,12:00,1.0,1.0,Freight Inhouse - Ho Chi Minh,,Fre,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-12
VN,VN,,,vn,2019-12-27T15:39:39Z,OTHERS,Others,1122,0,,12:00,1.0,1.0,Freight 3PL - Air Haul,,Fre,HCM,VN,vn,0,0,,HCM,2019-12
Khanh Hoa,VN,sub3,,vn,2020-05-04T17:22:41Z,STATION,MTTN,1171,0,,12:00,11.836614,109.230754,KHH - Binh Ba - SOU - SUB 2,,KHH,South,Khánh Hòa,vn,0,0,,South,2020-05
Đồng Nai,VN,sub2,,vn,2020-05-20T10:35:27Z,STATION,DNB,1180,0,,12:00,10.908072,107.3777947,DN - Xuan Loc - SOU - SUB 2,,DN,South,Đồng Nai,vn,0,0,,South,2020-05
Kien Giang,VN,sub3,,vn,2020-05-04T17:24:49Z,STATION,MT,1172,0,,12:00,10.2626,104.001361,KIG - An Thoi - SOU - SUB 2,,KIG,South,Kiên Giang,vn,0,0,,South,2020-05
Hoa Binh,VN,sub2,,vn,2020-05-04T12:19:40Z,STATION,NMM,1170,0,,12:00,20.909937,105.257642,HOB - Da Bac - NOR - SUB 2,,HOB,North,Hòa Bình,vn,0,0,,North,2020-05
Hn,VN,metro,,vn,2020-08-01T17:39:59Z,STATION,HN,1204,0,,12:00,21.0230404,105.8613266,HN - Hoan Kiem - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-08
