cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,parcels_attempt_ontime,parcels_attempt_late,attempt_day1_OTP,parcels_success_day1_ontime,parcels_success_day1_late,succcess_day1_OTP,parcels_success_day2_ontime,parcels_success_day2_late,succcess_day2_OTP,parcels_success_day3_ontime,parcels_success_day3_late,succcess_day3_OTP,volume_of_ontime_KPI,parcels_rts,rts_rate,volume_of_rts_KPI
3/12/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,420,2,0.995260664,366,56,0.867298578,394,28,0.933649289,405,17,0.95971564,422,24,0.057007126,421
3/12/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1906,14,0.992708333,1740,180,0.90625,1854,66,0.965625,1885,35,0.981770833,1920,39,0.0203125,1920
3/11/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,346,2,0.994252874,301,47,0.864942529,320,28,0.91954023,330,18,0.948275862,348,17,0.05,340
3/11/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2122,25,0.988355845,1954,193,0.910107126,2075,72,0.966464835,2096,51,0.976245925,2147,56,0.026082906,2147
3/10/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,348,1,0.99713467,309,40,0.885386819,322,27,0.922636103,329,20,0.94269341,349,16,0.047477745,337
3/10/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2278,20,0.99129678,2110,188,0.91818973,2250,48,0.979112272,2266,32,0.986074848,2298,33,0.014360313,2298
3/9/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,390,0,1,337,53,0.864102564,358,32,0.917948718,360,30,0.923076923,390,26,0.067357513,386
3/9/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1843,3,0.998374865,1684,162,0.912242687,1782,64,0.965330444,1800,46,0.975081257,1846,47,0.025460455,1846
3/8/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,326,3,0.990881459,279,50,0.848024316,307,22,0.933130699,313,16,0.951367781,329,14,0.043076923,325
3/8/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2557,50,0.980820867,2285,322,0.876486383,2501,106,0.959340238,2539,68,0.973916379,2607,63,0.024165708,2607
3/7/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,93,0,1,78,15,0.838709677,82,11,0.88172043,87,6,0.935483871,93,3,0.033333333,90
3/7/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,558,2,0.996428571,525,35,0.9375,546,14,0.975,548,12,0.978571429,560,12,0.021428571,560
3/6/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,325,13,0.961538462,278,60,0.822485207,310,28,0.917159763,316,22,0.934911243,338,21,0.063636364,330
3/6/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,3162,118,0.96402439,2673,607,0.814939024,3152,128,0.96097561,3181,99,0.969817073,3280,97,0.029573171,3280
3/5/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,369,1,0.997297297,307,63,0.82972973,334,36,0.902702703,351,19,0.948648649,370,19,0.052924791,359
3/5/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,3374,78,0.977404403,2998,454,0.868482039,3300,152,0.955967555,3370,82,0.976245655,3452,89,0.025782155,3452
3/4/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,411,0,1,354,57,0.861313869,373,38,0.907542579,382,29,0.929440389,411,30,0.073710074,407
3/4/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2358,75,0.969173859,2096,337,0.861487875,2337,96,0.96054254,2370,63,0.974106042,2433,73,0.03000411,2433
